AGE,DECIMALS,INDICATOR,COMP_BREAKDOWN_2,TIME_PERIOD,UNIT_TYPE,COMMENT_TS,URBANISATION,LATEST_DATA,DATABASE_ID,TIME_FORMAT,OBS_STATUS,COMP_BREAKDOWN_1,UNIT_MEASURE,REF_AREA,FREQ,AGG_METHOD,DATA_SOURCE,UNIT_MULT,COMMENT_OBS,OBS_CONF,OBS_VALUE,COMP_BREAKDOWN_3,SEX
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,True,WB_MPM,602,A,_Z,PT,AGO,A,,,0,,PU,47.2036,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,0.792693,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,1.3492,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,0.222551,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,0.781341,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,0.711346,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,True,WB_MPM,602,A,_Z,PT,ALB,A,,,0,,PU,0.293161,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.769402,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.74787,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.681594,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.700755,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.626893,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.724226,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.611008,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,1.09254,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2019,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,1.13756,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,1.17475,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,False,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.906573,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2022,,,_T,True,WB_MPM,602,A,_Z,PT,ARG,A,,,0,,PU,0.619663,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,2.95036,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.73826,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.46425,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2015,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.15047,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.10795,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2017,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,0.821682,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.33982,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2019,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,1.03007,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2020,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,0.352011,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2021,,,_T,False,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,0.523521,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2022,,,_T,True,WB_MPM,602,A,_Z,PT,ARM,A,,,0,,PU,0.781078,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,AUS,A,,,0,,PU,3.05821,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2014,,,_T,False,WB_MPM,602,A,_Z,PT,AUS,A,,,0,,PU,2.59507,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2016,,,_T,False,WB_MPM,602,A,_Z,PT,AUS,A,,,0,,PU,2.03276,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2018,,,_T,True,WB_MPM,602,A,_Z,PT,AUS,A,,,0,,PU,2.21577,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2009,,,_T,False,WB_MPM,602,A,_Z,PT,AUT,A,,,0,,PU,1.19456,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2010,,,_T,False,WB_MPM,602,A,_Z,PT,AUT,A,,,0,,PU,0.785819,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2011,,,_T,False,WB_MPM,602,A,_Z,PT,AUT,A,,,0,,PU,0.710933,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2012,,,_T,False,WB_MPM,602,A,_Z,PT,AUT,A,,,0,,PU,1.08929,_Z,_T
_T,,WB_MPM_HEADCOUNT,_Z,2013,,,_T,False,WB_MPM,602,A,_Z,PT,AUT,A,,,0,,PU,0.337998,_Z,_T
